symbol,base_asset,quote_asset,status
BTCUSDT,BTC,USDT,TRADING
ETHUSDT,ETH,USDT,TRADING
BNBUSDT,BNB,USDT,TRADING
NEOUSDT,NEO,USDT,TRADING
LTCUSDT,LTC,USDT,TRADING
ADAUSDT,ADA,USDT,TRADING
XRPUSDT,XRP,USDT,TRADING
EOSUSDT,EOS,USDT,BREAK
XLMUSDT,XLM,USDT,TRADING
TRXUSDT,TRX,USDT,TRADING
